date,side,entry,sl,tp,exit_price,result,pnl_r,pnl_usd,balance
2025-03-27 06:45,SHORT,2.362848,2.38615,2.3162439999999997,2.3162439999999997,WIN,1.95,900.9368231940246624119571354,47102.82519211836632456360511
2025-03-27 20:45,SHORT,2.3461724,2.36405,2.3104171999999994,2.3104171999999994,WIN,1.95,918.5050912463081433289902996,48021.33028336467446789259541
2025-03-28 20:00,SHORT,2.2076936,2.24215,2.1387807999999993,2.1387807999999993,WIN,1.95,936.4159405256111521239056105,48957.74622389028562001650102
2025-03-29 04:15,SHORT,2.1798722,2.19435,2.1509166000000004,2.1509166000000004,WIN,1.95,954.6760513658605695903217699,49912.42227525614618960682279
2025-03-29 17:15,SHORT,2.1101878,2.14155,2.0474633999999994,2.14155,LOSS,-1.05,-524.0804338901895349908716393,49388.34184136595665461595115
2025-03-30 15:15,SHORT,2.1677236,2.19645,2.1102708,2.1102708,WIN,1.95,963.0726659066361547650110474,50351.41450727259280938096220
2025-03-30 22:15,SHORT,2.13987884,2.15645,2.1067365200000006,2.15645,LOSS,-1.05,-528.6898523263622244985001031,49822.72465494623058488246210
2025-03-30 23:15,SHORT,2.13590212,2.15475,2.09820636,2.09820636,WIN,1.95,971.5431307714514964052080110,50794.26778571768208128767011
2025-03-31 11:30,SHORT,2.078188,2.11295,2.0086639999999996,2.11295,LOSS,-1.05,-533.3398117500356618535205362,50260.92797396764641943414957
2025-03-31 13:30,SHORT,2.078188,2.11295,2.0086639999999996,2.11295,LOSS,-1.05,-527.7397437266602874040585705,49733.18823024098613203009100
2025-03-31 17:30,SHORT,2.0947755,2.1176,2.0491265,2.1176,LOSS,-1.05,-522.1984764175303543863159555,49210.98975382345577764377504
2025-03-31 23:30,SHORT,2.1041410000000003,2.12305,2.0663230000000006,2.0663230000000006,WIN,1.95,959.6143001995573876640536133,50170.60405402301316530782865
2025-04-01 01:15,SHORT,2.1041410000000003,2.12305,2.0663230000000006,2.12305,LOSS,-1.05,-526.7913425672416382357322008,49643.81271145577152707209645
2025-04-01 18:00,LONG,2.12643734,2.09268,2.1939520199999993,2.09268,LOSS,-1.05,-521.2600334702856010342570127,49122.55267798548592603783944
2025-04-02 17:00,LONG,2.13367658,2.09655,2.2079297399999995,2.2079297399999995,WIN,1.95,957.8897772207169755577378691,50080.44245520620290159557731
2025-04-03 03:30,SHORT,2.0576092,2.06884,2.0351476,2.06884,LOSS,-1.05,-525.8446457796651304667535618,49554.59780942653777112882375
2025-04-03 04:15,SHORT,2.0576092,2.06884,2.0351476,2.06884,LOSS,-1.05,-520.3232769989786465968526494,49034.27453242755912453197110
2025-04-03 05:45,SHORT,2.0576092,2.06884,2.0351476,2.0351476,WIN,1.95,956.1683533823374029283734364,49990.44288580989652746034454
2025-04-03 11:45,SHORT,2.0386556000000002,2.05554,2.0048868000000004,2.0048868000000004,WIN,1.95,974.8136362732929822854767185,50965.25652208318950974582126
2025-04-03 12:45,SHORT,2.0386556000000002,2.05554,2.0048868000000004,2.05554,LOSS,-1.05,-535.1351934818734898523311232,50430.12132860131601989349014
2025-04-03 22:45,SHORT,2.057033,2.07174,2.027619,2.07174,LOSS,-1.05,-529.5162739503138182088816465,49900.60505465100220168460849
2025-04-04 02:45,SHORT,2.0578102,2.06694,2.0395505999999997,2.06694,LOSS,-1.05,-523.9563530738355231176883891,49376.64870157716667856692010
2025-04-04 06:30,SHORT,2.062579,2.07614,2.0354569999999996,2.07614,LOSS,-1.05,-518.4548113665602501249526610,48858.19389021060642844196744
2025-04-04 09:30,LONG,2.0706434,2.05204,2.1078501999999997,2.05204,LOSS,-1.05,-513.0110358472113674986406581,48345.18285436339506094332678
2025-04-04 19:00,LONG,2.1153816,2.09674,2.1526648,2.1526648,WIN,1.95,942.7310656600862036883948722,49287.91392002348126463172165
2025-04-05 05:15,LONG,2.12685852,2.11698,2.14661556,2.14661556,WIN,1.95,961.1143214404578846603185722,50249.02824146393914929204022
2025-04-05 10:15,LONG,2.1278194,2.12144,2.1405781999999993,2.12144,LOSS,-1.05,-527.6147965353713610675664223,49721.41344492856778822447380
2025-04-05 20:15,LONG,2.1232878,2.11454,2.1407834,2.1407834,WIN,1.95,969.5675621761070718703772391,50690.98100710467486009485104
2025-04-05 23:45,LONG,2.122289,2.11484,2.1371869999999995,2.11484,LOSS,-1.05,-532.2553005745990860309959359,50158.72570653007577406385510
2025-04-06 16:00,SHORT,2.07214158,2.08945,2.03752474,2.03752474,WIN,1.95,978.0951512773364775942451744,51136.82085780741225165810027
